Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	AverageTestEpC0	StdTestEpC0	MaxTestEpC0	MinTestEpC0	AverageTestEpC1	StdTestEpC1	MaxTestEpC1	MinTestEpC1	TestEpLen
0	11.3144346886992	0.8778415941270005	14.169234129898253	7.062258374914528	124.9875	0.017365849	0.102000535	0.28619066	-0.26912838	10000	-0.1304855	24.820322	-0.16503751	-24.003681	-39.604424	-0.13134313	14.287559986114502	22.717922188211233	0.13583519333973904	22.85375738155097	22.582086994871492	-0.1522696509584785	0.0006246930733321832	-0.15164495788514631	-0.15289434403181068	122.5
1	11.230535310183043	0.38797964087472986	12.523870672546321	10.227053536437454	122.65432098765432	4.576736	1.7302696	7.2652555	0.32340375	20000	-0.10643416	0.7722327	-0.0858259	-0.6708388	-39.715027	-0.17451386	27.215059757232666	23.140340881869193	0.4678030266612687	23.60814390853046	22.672537855207924	-0.1549752485938371	0.0026005000807345913	-0.1523747485131025	-0.1575757486745717	123.5
2	10.768694014634937	0.489473856406877	11.839907191712411	9.632593018971386	117.43529411764706	4.4475203	2.1871734	6.765822	-1.5788327	30000	-0.2998463	0.13398652	-0.046039194	-0.05153908	-39.578808	-0.11991013	40.434006690979004	20.92831448342652	1.1611841090396027	22.08949859246612	19.767130374386916	-0.16637335347011672	0.002181125711649634	-0.1641922277584671	-0.16855447918176636	112.5
3	10.588351474486638	0.5175482716110653	11.739596053473644	9.532901997696612	115.54651162790698	4.4398713	2.0629044	6.4942007	-1.4671223	40000	-0.2795021	0.100479186	-0.047636956	-0.018750817	-39.68315	-0.099889554	52.823992013931274	21.579243745841087	1.2522454423829927	22.83148918822408	20.326998303458094	-0.17082410536706455	0.004843219593167192	-0.16598088577389736	-0.17566732496023174	118.0
4	11.11816254694537	0.3663008864255545	11.842089848406614	10.088494986165312	121.14634146341463	4.3893714	1.9830223	6.3677044	-1.0191811	50000	-0.2828601	0.09009429	-0.03684798	-0.043272544	-39.939995	-0.099148795	65.42758798599243	21.740581559799605	0.8979161917045708	22.638497751504175	20.842665368095034	-0.16998896026983856	0.00501648763194662	-0.16497247263789194	-0.17500544790178518	119.5
5	9.792317948292295	2.143842893135486	11.834507069513206	5.428023680076003	109.47252747252747	4.413272	2.208512	6.6402874	-1.4959995	60000	-0.53237253	0.47663027	-0.005971968	-0.17963767	-39.712055	-0.03473173	77.36507391929626	13.036662779897453	0.058444212153551334	13.095106992051004	12.978218567743902	-0.2076071053335909	0.0022130181419197092	-0.20539408719167118	-0.2098201234755106	75.5
6	6.908592930243618	1.4415404019501916	11.097343790028235	5.254049879414961	80.29032258064517	3.9343722	2.0982778	6.477673	-1.1580528	70000	-0.40212807	0.8429458	-0.045616716	-0.6122297	-38.684322	0.0051204744	89.73149085044861	22.351106728687885	0.08153854496777768	22.432645273655663	22.269568183720107	-0.16863912101835	0.00035982467234130233	-0.1682792963460087	-0.1689989456906913	124.5
7	8.363647880038512	2.1771693781876724	11.812995976042004	5.797359338495881	95.11428571428571	3.5865169	1.6009349	5.7351174	-0.91242784	80000	0.11079932	0.52688944	0.019373037	-0.16448182	-39.33147	-0.027555829	101.82277941703796	17.555001547019923	4.1562386611662765	21.7112402081862	13.398762885853648	-0.1805854327883572	0.0160335237439721	-0.1645519090443851	-0.1966189565323293	98.5
8	7.702660694704826	2.6532020834954837	11.184403467774393	4.3958050834015	93.4392523364486	3.7749543	1.8601176	6.288032	-1.1603253	90000	-0.37019923	0.7892554	-0.026135683	-0.12309611	-39.43643	0.00774966	114.96039819717407	16.757524320743972	6.09364754464477	22.851171865388743	10.663876776099203	-0.16584851749241358	0.006182683408260448	-0.15966583408415314	-0.17203120090067403	100.0
9	8.476580955727995	2.9869453065341682	11.754287131298337	4.571096699200571	101.6734693877551	3.8801277	1.9358032	7.229094	-1.1747779	100000	0.4402017	0.6948163	0.011302561	-0.09414327	-39.813683	0.028511498	126.94727921485901	16.350427383482455	5.084960853606462	21.435388237088915	11.265466529875992	-0.15699601046741013	0.007494848892092676	-0.14950116157531745	-0.1644908593595028	95.0
10	5.448720054959031	0.6867678246440923	10.895500291679054	4.843856319747864	74.2089552238806	3.1213417	1.8706534	7.0907145	-1.3622004	110000	-0.7679266	0.7991878	-0.059115708	-0.7415392	-38.34087	0.032354884	139.34805130958557	16.92349859768525	6.639338060226291	23.56283665791154	10.284160537458957	-0.16374001210555433	0.009341897014528588	-0.15439811509102574	-0.17308190912008292	103.0
11	9.581842675798747	2.613372111280809	12.479364014714962	4.558361854450779	109.5934065934066	3.589503	1.5239626	6.1797905	-1.016024	120000	1.0535848	1.7190914	-0.006221533	-1.2468647	-40.125164	-0.009096458	151.47693490982056	15.510875681359323	6.142112499531358	21.65298818089068	9.368763181827966	-0.17575506458058954	0.0024956456385551995	-0.17325941894203434	-0.17825071021914474	95.0
12	9.091650873726985	2.7492926048381237	11.8158750262484	4.547778105661272	105.96808510638297	4.087114	2.057399	6.6649766	-1.227493	130000	-0.18212974	0.5519695	-0.033033445	-0.046314836	-40.127514	-0.0219089	163.4782235622406	21.370946962982423	1.0188150217384102	22.38976198472083	20.35213194124401	-0.16406798128038647	0.010676834955811287	-0.15339114632457518	-0.17474481623619775	116.5
13	7.905093115425028	3.0893430270370104	11.93138395689428	4.4643205660022796	97.01941747572816	3.8054516	2.0500531	6.599997	-1.1781043	140000	-0.51571983	0.7756282	-0.019273043	-0.11641246	-39.75377	-0.03394776	175.30569863319397	9.466003037476911	0.02365959039889276	9.489662627875804	9.442343447078018	-0.17339973758906113	0.0031219267472625267	-0.1702778108417986	-0.17652166433632366	74.0
14	6.947138476369163	2.9018945664738403	11.712654461190105	4.543516863062979	89.83783783783784	3.4238672	1.905458	6.6160493	-1.2414143	150000	-0.35131288	0.72112244	-0.027541041	-0.0748232	-39.33861	-0.011565625	187.49032974243164	8.454190306849778	0.5900725276395677	9.044262834489345	7.8641177792102095	-0.14113365141674894	0.030114895347505777	-0.11101875606924316	-0.17124854676425472	75.0
15	4.989219883620695	1.8757988404405126	11.74799908006564	3.1892116765491663	79.06349206349206	2.749795	1.7139587	6.512852	-1.5897484	160000	-0.7461088	0.77923816	-0.029375196	-0.40076482	-38.944283	0.058630224	199.49260330200195	9.926516922870649	3.348632349232211	13.27514927210286	6.577884573638438	-0.13290271818637855	0.02447955094277865	-0.1084231672435999	-0.1573822691291572	80.5
